id,name,twolettercode,threelettercode,designator,alliance,aviation,sea,land,rail,validfrom,validto
322,Eagle Air,EY,EFL,,,t,f,f,f,2020-06-02 00:00:00+00,
323,Eastern Air Lines,EA,EAL,,,t,f,f,f,2020-06-02 00:00:00+00,
324,Eastern Australia Airlines,QF,EAQ,,,t,f,f,f,2020-06-02 00:00:00+00,
325,easyJet Switzerland,DS,EZS,,,t,f,f,f,2020-06-02 00:00:00+00,
326,easyJet UK,U2,EZY,,,t,f,f,f,2020-06-02 00:00:00+00,
327,Ellinair,EL,ELB,,,t,f,f,f,2020-06-02 00:00:00+00,
328,Emirates Airlines,EK,UAE,,,t,f,f,f,2020-06-02 00:00:00+00,
329,Endeavor Air,9E,EDV,,,t,f,f,f,2020-06-02 00:00:00+00,
330,Enter Air,OF,ENT,,,t,f,f,f,2020-06-02 00:00:00+00,
331,EuroAtlantic Airways,MM,MMZ,,,t,f,f,f,2020-06-02 00:00:00+00,
332,Eurolot,K2,ELO,,,t,f,f,f,2020-06-02 00:00:00+00,
333,Europe Airpost,5O,FPO,,,t,f,f,f,2020-06-02 00:00:00+00,
334,European Air Transport,QY,BCS,,,t,f,f,f,2020-06-02 00:00:00+00,
335,European Aviation Air Charter,E7,EAF,,,t,f,f,f,2020-06-02 00:00:00+00,
336,Eurowings,EW,EWG,,,t,f,f,f,2020-06-02 00:00:00+00,
337,EVA Air,BR,EVA,,,t,f,f,f,2020-06-02 00:00:00+00,
338,Evergreen International Airlines,EZ,EIA,,,t,f,f,f,2020-06-02 00:00:00+00,
339,Excel Airways,JN,XLA,,,t,f,f,f,2020-06-02 00:00:00+00,
340,Farnair Hungary,,FAH,,,t,f,f,f,2020-06-02 00:00:00+00,
341,Fika Salaama Airlines,N8,HGK,,,t,f,f,f,2020-06-02 00:00:00+00,
342,First Choice Airways,DP,FCA,,,t,f,f,f,2020-06-02 00:00:00+00,
343,Florida Coastal Airlines,PA,FCL,,,t,f,f,f,2020-06-02 00:00:00+00,
344,Fly One,5F,FIA,,,t,f,f,f,2020-06-02 00:00:00+00,
345,Flybaboo,F7,BBO,,,t,f,f,f,2020-06-02 00:00:00+00,
346,FlyEgypt,FT,FEG,,,t,f,f,f,2020-06-02 00:00:00+00,
347,Flyhy Cargo Airlines,W3,FYH,,,t,f,f,f,2020-06-02 00:00:00+00,
348,FlyPelican,FP,FRE,,,t,f,f,f,2020-06-02 00:00:00+00,
349,FlyViking,VK,FVK,,,t,f,f,f,2020-06-02 00:00:00+00,
350,Formosa Airlines,VY,FOS,,,t,f,f,f,2020-06-02 00:00:00+00,
351,Four Star Aviation / Four Star Cargo,HK,FSC,,,t,f,f,f,2020-06-02 00:00:00+00,
352,Freebird Airlines,FH,FHY,,,t,f,f,f,2020-06-02 00:00:00+00,
353,Georgian Airways,A9,TGZ,,,t,f,f,f,2020-06-02 00:00:00+00,
354,Germania,ST,GMI,,,t,f,f,f,2020-06-02 00:00:00+00,
355,Germanwings,4U,GWI,,,t,f,f,f,2020-06-02 00:00:00+00,
356,Globus Airlines,GH,GLP,,,t,f,f,f,2020-06-02 00:00:00+00,
357,Golden Air,DC,GAO,,,t,f,f,f,2020-06-02 00:00:00+00,
358,Guine Bissaur Airlines,G6,BSR,,,t,f,f,f,2020-06-02 00:00:00+00,
359,Guinee Airlines,J9,GIF,,,t,f,f,f,2020-06-02 00:00:00+00,
360,Hagondale Limited,,POW,,,t,f,f,f,2020-06-02 00:00:00+00,
361,Hainan Airlines,HU,CHH,,,t,f,f,f,2020-06-02 00:00:00+00,
362,Hapag-Lloyd Express (TUIfly),X3,HLX,,,t,f,f,f,2020-06-02 00:00:00+00,
363,Hellenic Air Force,,HAF,,,t,f,f,f,2020-06-02 00:00:00+00,
364,Helvetic Airways,2L,OAW,,,t,f,f,f,2020-06-02 00:00:00+00,
365,Hi Fly,5K,HFY,,,t,f,f,f,2020-06-02 00:00:00+00,
366,Hi Fly Malta,,HFM,,,t,f,f,f,2020-06-02 00:00:00+00,
367,Holidays Czech Airlines,HC,HCC,,,t,f,f,f,2020-06-02 00:00:00+00,
368,Iberia Airlines,IB,IBE,,,t,f,f,f,2020-06-02 00:00:00+00,
369,Iberia Express,I2,IBS,,,t,f,f,f,2020-06-02 00:00:00+00,
370,Independent Carrier (ICAR),C3,IPR,,,t,f,f,f,2020-06-02 00:00:00+00,
371,InterCaribbean Airways,JY,IWY,,,t,f,f,f,2020-06-02 00:00:00+00,
372,Iran Air,IR,IRA,,,t,f,f,f,2020-06-02 00:00:00+00,
373,Iraqi Airways,IA,IAW,,,t,f,f,f,2020-06-02 00:00:00+00,
374,Israir,6H,ISR,,,t,f,f,f,2020-06-02 00:00:00+00,
375,Itali Airlines,FS,ACL,,,t,f,f,f,2020-06-02 00:00:00+00,
376,J-Air,XM,,,,t,f,f,f,2020-06-02 00:00:00+00,
377,JALways,JO,JAZ,,,t,f,f,f,2020-06-02 00:00:00+00,
378,Japan Asia Airways,EG,JAA,,,t,f,f,f,2020-06-02 00:00:00+00,
379,Jazeera Airways,J9,JZR,,,t,f,f,f,2020-06-02 00:00:00+00,
380,Jet2.com,LS,EXS,,,t,f,f,f,2020-06-02 00:00:00+00,
381,Jetstar Airways,JQ,JST,,,t,f,f,f,2020-06-02 00:00:00+00,
382,Jettime,JO,JTG,,,t,f,f,f,2020-06-02 00:00:00+00,
383,Jordan Aviation,R5,JAV,,,t,f,f,f,2020-06-02 00:00:00+00,
384,Jota Aviation,,ENZ,,,t,f,f,f,2020-06-02 00:00:00+00,
385,Juneyao Airlines,HO,DKH,,,t,f,f,f,2020-06-02 00:00:00+00,
386,Kaiser Air,,KAI,,,t,f,f,f,2020-06-02 00:00:00+00,
387,Kalitta Air,K4,CKS,,,t,f,f,f,2020-06-02 00:00:00+00,
388,Kingfisher Airlines,IT,KFR,,,t,f,f,f,2020-06-02 00:00:00+00,
389,KLM,KL,KLM,,,t,f,f,f,2020-06-02 00:00:00+00,
390,KLM Cityhopper,WA,KLC,,,t,f,f,f,2020-06-02 00:00:00+00,
391,LATAM Chile,LA,LAN,,,t,f,f,f,2020-06-02 00:00:00+00,
392,LATAM Express,LU,LXP,,,t,f,f,f,2020-06-02 00:00:00+00,
393,Libyan Arab Airlines,LN,LAA,,,t,f,f,f,2020-06-02 00:00:00+00,
394,Livingston Energy Flight,LM,LVG,,,t,f,f,f,2020-06-02 00:00:00+00,
395,Lloyd Areo Boliviano,LB,LLB,,,t,f,f,f,2020-06-02 00:00:00+00,
396,LOT Polish Airlines,LO,LOT,,,t,f,f,f,2020-06-02 00:00:00+00,
397,LTU International,LT,LTU,,,t,f,f,f,2020-06-02 00:00:00+00,
398,Lufthansa CityLine,CL,CLH,,,t,f,f,f,2020-06-02 00:00:00+00,
399,Maleth-Aero,DB,MLT,,,t,f,f,f,2020-06-02 00:00:00+00,
400,Malm Aviation,TF,SCW,,,t,f,f,f,2020-06-02 00:00:00+00,
401,Martinair,MP,MPH,,,t,f,f,f,2020-06-02 00:00:00+00,
402,MasAir,M7,MAA,,,t,f,f,f,2020-06-02 00:00:00+00,
403,MASwings,MH,MWG,,,t,f,f,f,2020-06-02 00:00:00+00,
404,Miami Air International,LL,BSK,,,t,f,f,f,2020-06-02 00:00:00+00,
405,Mistral Air,M4,MSA,,,t,f,f,f,2020-06-02 00:00:00+00,
406,Montenegro Airlines,YM,MGX,,,t,f,f,f,2020-06-02 00:00:00+00,
407,Montserrat Airways,5M,MNT,,,t,f,f,f,2020-06-02 00:00:00+00,
408,Mountain Air Company,N4,MTC,,,t,f,f,f,2020-06-02 00:00:00+00,
409,National Air Cargo dba National Airlines,N8,NCR,,,t,f,f,f,2020-06-02 00:00:00+00,
410,Neos,NO,NOS,,,t,f,f,f,2020-06-02 00:00:00+00,
411,Niki,HG,NLY,,,t,f,f,f,2020-06-02 00:00:00+00,
412,Northwestern Air,J3,PLR,,,t,f,f,f,2020-06-02 00:00:00+00,
413,Norwegian Air International (Norway),D8,IBK,,,t,f,f,f,2020-06-02 00:00:00+00,
414,Nouvel Air Tunisie,BJ,LBT,,,t,f,f,f,2020-06-02 00:00:00+00,
415,Novair,1I,NVR,,,t,f,f,f,2020-06-02 00:00:00+00,
416,Novo Air,VQ,NVQ,,,t,f,f,f,2020-06-02 00:00:00+00,
417,OLT Express Germany,OL,OLT,,,t,f,f,f,2020-06-02 00:00:00+00,
418,Onur Air,8Q,OHY,,,t,f,f,f,2020-06-02 00:00:00+00,
419,Orenburg Airlines,R2,ORB,,,t,f,f,f,2020-06-02 00:00:00+00,
420,Pakistan International Airlines,PK,PIA,,,t,f,f,f,2020-06-02 00:00:00+00,
421,Pascan Aviation,P6,PSC,,,t,f,f,f,2020-06-02 00:00:00+00,
422,Peoples,PE,PEV,,,t,f,f,f,2020-06-02 00:00:00+00,
423,Philippine Airlines,PR,PAL,,,t,f,f,f,2020-06-02 00:00:00+00,
424,PLUNA,PU,PUA,,,t,f,f,f,2020-06-02 00:00:00+00,
425,Polar Air Cargo,PO,PAC,,,t,f,f,f,2020-06-02 00:00:00+00,
426,President Airlines,TO,PSD,,,t,f,f,f,2020-06-02 00:00:00+00,
427,Proflight Zambia,P0,PFZ,,,t,f,f,f,2020-06-02 00:00:00+00,
428,Pulkovo Aviation Enterprise,FV,PLK,,,t,f,f,f,2020-06-02 00:00:00+00,
429,Qatar Executive,,QQE,,,t,f,f,f,2020-06-02 00:00:00+00,
430,RACSA,R6,,,,t,f,f,f,2020-06-02 00:00:00+00,
431,RAF-Avia,,MTL,,,t,f,f,f,2020-06-02 00:00:00+00,
432,Rgional Compagnie Arienne Europenne,YS,RAE,,,t,f,f,f,2020-06-02 00:00:00+00,
433,Regional Paraguaya,P7,REP,,,t,f,f,f,2020-06-02 00:00:00+00,
434,Rossiya,FV,SDM,,,t,f,f,f,2020-06-02 00:00:00+00,
435,Royal Air Force,RR,RFR,,,t,f,f,f,2020-06-02 00:00:00+00,
436,Royal Australian Air Force,,ASY,,,t,f,f,f,2020-06-02 00:00:00+00,
437,Rwandair Express,WB,RWD,,,t,f,f,f,2020-06-02 00:00:00+00,
438,Ryanair,FR,RYR,,,t,f,f,f,2020-06-02 00:00:00+00,
439,Sabre travel network Asia-Pacific (ex-Abacus),1B,,,,t,f,f,f,2020-06-02 00:00:00+00,
440,Saratov Airlines Joint Stock Company,6W,SOV,,,t,f,f,f,2020-06-02 00:00:00+00,
441,SASCO Airlines,,SAC,,,t,f,f,f,2020-06-02 00:00:00+00,
442,SATA International,S4,RZO,,,t,f,f,f,2020-06-02 00:00:00+00,
443,Saudia,SV,SVA,,,t,f,f,f,2020-06-02 00:00:00+00,
444,Sayakhat Airlines,W7,SAH,,,t,f,f,f,2020-06-02 00:00:00+00,
445,Scandinavian Airlines,SK,SAS,,,t,f,f,f,2020-06-02 00:00:00+00,
446,ScotAirways,,SAY,,,t,f,f,f,2020-06-02 00:00:00+00,
447,Servicios Areos Gadel,,GDE,,,t,f,f,f,2020-06-02 00:00:00+00,
448,Shaheen Air,NL,SAI,,,t,f,f,f,2020-06-02 00:00:00+00,
449,Shanxi Airlines,8C,CXI,,,t,f,f,f,2020-06-02 00:00:00+00,
450,Shenzhen Airlines,ZH,CSZ,,,t,f,f,f,2020-06-02 00:00:00+00,
451,Shuttle America,S5,TCF,,,t,f,f,f,2020-06-02 00:00:00+00,
452,Siavia,,SVB,,,t,f,f,f,2020-06-02 00:00:00+00,
453,Sirair,,SRN,,,t,f,f,f,2020-06-02 00:00:00+00,
454,Sky Airlines,ZY,SHY,,,t,f,f,f,2020-06-02 00:00:00+00,
455,Sky Service,,SKS,,,t,f,f,f,2020-06-02 00:00:00+00,
456,Sky Work Airlines,SX,SRK,,,t,f,f,f,2020-06-02 00:00:00+00,
457,Skynet Airlines,SI,SIH,,,t,f,f,f,2020-06-02 00:00:00+00,
458,Skyservice Airlines,5G,SSV,,,t,f,f,f,2020-06-02 00:00:00+00,
459,SkyUp,PQ,SQP,,,t,f,f,f,2020-06-02 00:00:00+00,
460,Skywalk Airlines,AL,SYX,,,t,f,f,f,2020-06-02 00:00:00+00,
461,Small Planet Airlines,5P,LLX,,,t,f,f,f,2020-06-02 00:00:00+00,
462,Smartlynx Airlines,6Y,ART,,,t,f,f,f,2020-06-02 00:00:00+00,
463,Smartwings,QS,TVS,,,t,f,f,f,2020-06-02 00:00:00+00,
464,Solinair,,SOP,,,t,f,f,f,2020-06-02 00:00:00+00,
465,Southern Winds Airlines,A4,SWD,,,t,f,f,f,2020-06-02 00:00:00+00,
466,Star East Airline,4R,SEK,,,t,f,f,f,2020-06-02 00:00:00+00,
467,Sun Air of Scandinavia,EZ,SUS,,,t,f,f,f,2020-06-02 00:00:00+00,
468,Sun Country Airlines,SY,SCX,,,t,f,f,f,2020-06-02 00:00:00+00,
469,Sundair,SR,SDR,,,t,f,f,f,2020-06-02 00:00:00+00,
470,SunExpress,XQ,SXS,,,t,f,f,f,2020-06-02 00:00:00+00,
471,Sunexpress Deutschland,XG,SXD,,,t,f,f,f,2020-06-02 00:00:00+00,
472,Sunwing Airlines,WG,SWG,,,t,f,f,f,2020-06-02 00:00:00+00,
473,Swift Air (Interstate Equipment Leasing),WQ,SWQ,,,t,f,f,f,2020-06-02 00:00:00+00,
474,Swiss International Air Lines,LX,SWR,,,t,f,f,f,2020-06-02 00:00:00+00,
475,Swissair,SR,SWR,,,t,f,f,f,2020-06-02 00:00:00+00,
476,T'way Air,TW,TWB,,,t,f,f,f,2020-06-02 00:00:00+00,
477,TACV,VR,TCV,,,t,f,f,f,2020-06-02 00:00:00+00,
478,Tag Aviation UK,,VIP,,,t,f,f,f,2020-06-02 00:00:00+00,
479,Thomson Airways,BY,TOM,,,t,f,f,f,2020-06-02 00:00:00+00,
480,Titan Airways,ZT,AWC,,,t,f,f,f,2020-06-02 00:00:00+00,
481,TNT Airways,3V,TAY,,,t,f,f,f,2020-06-02 00:00:00+00,
482,Tol-Air Services,TI,TOL,,,t,f,f,f,2020-06-02 00:00:00+00,
483,Trade Air,,TDR,,,t,f,f,f,2020-06-02 00:00:00+00,
484,Transavia France,TO,TVF,,,t,f,f,f,2020-06-02 00:00:00+00,
485,Transavia Holland,HV,TRA,,,t,f,f,f,2020-06-02 00:00:00+00,
486,TransMeridian Airlines,T9,TRZ,,,t,f,f,f,2020-06-02 00:00:00+00,
487,TUI Airlines Netherlands,OR,TFL,,,t,f,f,f,2020-06-02 00:00:00+00,
488,TUIfly Nordic,6B,BLX,,,t,f,f,f,2020-06-02 00:00:00+00,
489,Turkish Airlines General Aviation,,TRK,,,t,f,f,f,2020-06-02 00:00:00+00,
490,Turkmenhovayollary,T5,TUA,,,t,f,f,f,2020-06-02 00:00:00+00,
491,Ural Airlines,U6,SVR,,,t,f,f,f,2020-06-02 00:00:00+00,
492,UTair Aviation,UT,UTA,,,t,f,f,f,2020-06-02 00:00:00+00,
493,VIM Airlines,NN,MOV,,,t,f,f,f,2020-06-02 00:00:00+00,
494,VLM Airlines,VG,VLM,,,t,f,f,f,2020-06-02 00:00:00+00,
495,Volga-Dnepr Airlines,VI,VDA,,,t,f,f,f,2020-06-02 00:00:00+00,
496,Volotea,V7,VOE,,,t,f,f,f,2020-06-02 00:00:00+00,
497,Vueling Airlines,VY,VLG,,,t,f,f,f,2020-06-02 00:00:00+00,
498,West Air (China),PN,CHB,,,t,f,f,f,2020-06-02 00:00:00+00,
499,West Air Sweden,PT,SWN,,,t,f,f,f,2020-06-02 00:00:00+00,
500,Western Global Airlines,,WGN,,,t,f,f,f,2020-06-02 00:00:00+00,
501,WestJet,WS,WJA,,,t,f,f,f,2020-06-02 00:00:00+00,
502,White,,WHT,,,t,f,f,f,2020-06-02 00:00:00+00,
503,Widere,WF,WIF,,,t,f,f,f,2020-06-02 00:00:00+00,
504,Windrose Air,7W,QGA,,,t,f,f,f,2020-06-02 00:00:00+00,
505,Wizz Air,W6,WZZ,,,t,f,f,f,2020-06-02 00:00:00+00,
506,XL Airways France,SE,SEU,,,t,f,f,f,2020-06-02 00:00:00+00,
507,Yamal Airlines,YL,LLM,,,t,f,f,f,2020-06-02 00:00:00+00,
