id,name,validfrom,validto,updatedby
1,Terminal 1,2019-01-01 00:01:00+00,,
2,Terminal 2,2019-01-01 00:01:00+00,,
3,Terminal 3,2019-01-01 00:01:00+00,,
4,Terminal 4,2019-01-01 00:01:00+00,,
5,Terminal 5,2019-01-01 00:01:00+00,,
6,North Terminal,2019-01-01 00:01:00+00,,
7,South Terminal,2019-01-01 00:01:00+00,,
8,Eastern Docks,2019-01-01 00:01:00+00,,
9,Western Docks,2019-01-01 00:01:00+00,,
