id,route,carrierid,validfrom,validto
104,Purfleet - Rotterdam,,2019-01-01 00:01:00+00,
105,Purfleet - Zeebrugge,,2019-01-01 00:01:00+00,
106,Ramsgate - Oostende,,2019-01-01 00:01:00+00,
107,Roscoff - Plymouth,,2019-01-01 00:01:00+00,
108,Rosslare - Fishguard,,2019-01-01 00:01:00+00,
109,Rosslare - Pembroke,,2019-01-01 00:01:00+00,
110,Rosyth - Zeebrugge,,2019-01-01 00:01:00+00,
111,Rottedam - Purfleet,,2019-01-01 00:01:00+00,
112,Rotterdam - Felixstowe,,2019-01-01 00:01:00+00,
113,Rotterdam - Hull,,2019-01-01 00:01:00+00,
114,Rotterdam - Immingham,,2019-01-01 00:01:00+00,
115,Rotterdam - Ipswich,,2019-01-01 00:01:00+00,
116,Rotterdam - Killingholme,,2019-01-01 00:01:00+00,
117,Santander - Plymouth,,2019-01-01 00:01:00+00,
118,Santander - Poole,,2019-01-01 00:01:00+00,
119,Santander - Portsmouth,,2019-01-01 00:01:00+00,
120,St Malo - Plymouth,,2019-01-01 00:01:00+00,
121,St Malo - Portsmouth,,2019-01-01 00:01:00+00,
122,Stavanger - Newcastle,,2019-01-01 00:01:00+00,
123,Stranraer - Belfast,,2019-01-01 00:01:00+00,
124,Swansea - Cork,,2019-01-01 00:01:00+00,
125,Teesport - Europoort,,2019-01-01 00:01:00+00,
126,Teesport - Zeebrugge,,2019-01-01 00:01:00+00,
127,Tilbury - Goteborg,,2019-01-01 00:01:00+00,
128,Tilbury - Zeebrugge,,2019-01-01 00:01:00+00,
129,Troon - Larne,,2019-01-01 00:01:00+00,
130,Vlaardingen - Felixstowe,,2019-01-01 00:01:00+00,
131,Vlaardingen - Immingham,,2019-01-01 00:01:00+00,
132,Vlissingen - Dagenham,,2019-01-01 00:01:00+00,
133,Weymouth - Guernsey,,2019-01-01 00:01:00+00,
134,Weymouth - Jersey,,2019-01-01 00:01:00+00,
135,Zeebrugge - Hull,,2019-01-01 00:01:00+00,
136,Zeebrugge - Killingholme,,2019-01-01 00:01:00+00,
137,Zeebrugge - Purfleet,,2019-01-01 00:01:00+00,
138,Zeebrugge - Rosyth,,2019-01-01 00:01:00+00,
139,Zeebrugge - Teesport,,2019-01-01 00:01:00+00,
140,Zeebrugge - Tilbury,,2019-01-01 00:01:00+00,
