id,name,twolettercode,threelettercode,validfrom,validto
215,Lusoga,,,,
216,"Luxembourgish, Letzeburgesch",lb,ltz,,
217,Lwo,,,,
218,Macedonian,mk,mkd,,
219,Machame,,,,
220,Maithili,,,,
221,Malagasy,mg,mlg,,
222,Malay,ms,msa,,
223,Malayalam,ml,mal,,
224,Malayalam (Isc),,,,
225,Malinke,,,,
226,Maltese,mt,mlt,,
227,Mandarin,,,,
228,Mandingo,,,,
229,Mandinka,,,,
230,Manx,gv,glv,,
231,Maori,mi,mri,,
232,Marangu,,,,
233,Marathi,mr,mar,,
234,Marshallese,mh,mah,,
235,Mashi,,,,
236,Mende,,,,
237,Meru,,,,
238,Mirpuri,,,,
239,Moldovan,,,,
240,Mongolian,mn,mon,,
241,Montenegroian,,,,
242,Moro,,,,
243,Nauru,na,nau,,
244,"Navajo, Navaho",nv,nav,,
245,Ndali,,,,
246,Ndebele,,,,
247,Ndonga,ng,ndo,,
248,Nepali,ne,nep,,
249,Ngala (Ang),,,,
250,North Ndebele,nd,nde,,
251,Northern Sami,se,sme,,
252,Norwegian,no,nor,,
253,Norwegian Bokmål,nb,nob,,
254,Norwegian Nynorsk,nn,nno,,
255,Not Specified,,,,
256,Nuer,,,,
257,Nyakyusa,,,,
258,Nyanja,,,,
259,Nyiha,,,,
260,Occitan,oc,oci,,
261,Ojibwa,oj,oji,,
262,Oriya,or,ori,,
263,Oromo,om,orm,,
264,Oromo Borana-arsi-guji,,,,
265,Oromo W Central,,,,
266,"Ossetian, Ossetic",os,oss,,
267,Ouolof,,,,
268,Pahari,,,,
269,Pali,pi,pli,,
270,Pampango,,,,
271,Pangasinan,,,,
272,Pashto,,,,
273,"Pashto, Pushto",ps,pus,,
274,Patois-West Indies,,,,
275,Persian,fa,fas,,
276,Pidgin English,,,,
277,Pidgin English-Liberian,,,,
278,Pidgin English-West African,,,,
279,Polish,pl,pol,,
280,Portuguese,pt,por,,
281,Portuguese Angolan,,,,
282,Portuguese European,,,,
283,Portuguese-Mozambique Guinea Bissau,,,,
284,Portuguese-South American,,,,
285,Potwari,,,,
286,Punjabi-Indian,,,,
287,Punjabi-Pakistani,,,,
288,"Punjabi, Panjabi",pa,pan,,
289,Quechua,qu,que,,
290,Remo,,,,
291,Romanian,,,,
292,Romanian-Moldovan,,,,
293,"Romanian, Moldavian, Moldovan",ro,ron,,
294,Romansh,rm,roh,,
295,Romany,,,,
296,Rukiga,,,,
297,Rundi,rn,run,,
298,Runyankole,,,,
299,Runyoro,,,,
300,Russian,ru,rus,,
301,Rutooro,,,,
302,Saho,,,,
303,Samoan,sm,smo,,
304,Sango,sg,sag,,
305,Sanskrit,sa,san,,
306,Sardinian,sc,srd,,
307,Senegalese,,,,
308,Serahula,,,,
309,Serbian,sr,srp,,
310,Serbo-Croat,,,,
311,Sesotho,,,,
312,Shanghainese,,,,
313,Shona,sn,sna,,
314,Shona,,,,
315,"Sichuan Yi, Nuosu",ii,iii,,
316,Sign Language-British,,,,
317,Sign Language-Farsi,,,,
318,Sign Language-International,,,,
319,Sindhi,sd,snd,,
320,"Sinhala, Sinhalese",si,sin,,
321,Sinhalese,,,,
322,Slovak,sk,slk,,
323,Slovene,,,,
324,Slovenian,sl,slv,,
325,Somali,so,som,,
326,Somali-Reer Hamar,,,,
327,Somali-Reer Marka,,,,
328,Sotho,,,,
329,South Ndebele,nr,nbl,,
330,Southern Sotho,st,sot,,
331,Spanish,,,,
332,Spanish-Latin America,,,,
333,"Spanish, Castilian",es,spa,,
334,Sundanese,su,sun,,
335,Susu,,,,
336,Swahili,sw,swa,,
337,Swahili-DRC,,,,
338,Swahili-Kibajuni,,,,
339,Swati,ss,ssw,,
340,Swedish,sv,swe,,
341,Sylheti,,,,
342,Tagalog,tl,tgl,,
343,Tahitian,ty,tah,,
344,Taiwanese,,,,
345,Tajik,tg,tgk,,
346,Tamil,ta,tam,,
347,Tatar,tt,tat,,
348,Telugu,te,tel,,
349,Teme,,,,
350,Temne,,,,
351,Thai,th,tha,,
352,Tibetan,bo,bod,,
353,Tigre,,,,
354,Tigrinya,ti,tir,,
355,Tonga (Tonga Islands),to,ton,,
356,Tongan,,,,
357,Tosk,,,,
358,Tshiluba,,,,
359,Tsonga,ts,tso,,
360,Tswana,tn,tsn,,
361,Turkish,tr,tur,,
362,Turkmen,tk,tuk,,
363,Twi,tw,twi,,
364,Uighur,,,,
365,"Uighur, Uyghur",ug,uig,,
366,Ukrainian,uk,ukr,,
367,Ukwuani,,,,
368,Urdu,ur,urd,,
369,Urhobo,,,,
370,Uzbek,uz,uzb,,
371,Venda,ve,ven,,
372,Vietnamese,vi,vie,,
373,Volapük,vo,vol,,
374,Walloon,wa,wln,,
375,Welsh,cy,cym,,
376,Western Frisian,fy,fry,,
377,Wolof,wo,wol,,
378,Xhosa,xh,xho,,
379,Yiddish,xh,yid,,
380,Yoruba,yo,yor,,
381,Yoruba- Nigerian,,,,
382,Zaghawa,,,,
383,"Zhuang, Chuang",za,zha,,
384,Zulu,zu,zul,,
